table,project,sponsors,link,category,special
1,DeepHire,"Amazon Web Services - Best Use of AWS, 1517: Best Hack, DRW: Most Innovative Hack",http://mhacks9.devpost.com/submissions/69924-deephire,AI/ML,
2,Swap,"1517: Best Hack, DRW: Most Innovative Hack",http://mhacks9.devpost.com/submissions/69925-swap,Android,
3,gr8orangeone.github.io cse club Website Redesign,,http://mhacks9.devpost.com/submissions/69926-gr8orangeone-github-io-cse-club-website-redesign,Web Development,
4,Twitter Block + Quotes,#HackHarassment,http://mhacks9.devpost.com/submissions/69931-twitter-block-quotes,Web Development,
5,kickflip,"Best Use of Twilio's API, Amazon Web Services - Best Use of AWS",http://mhacks9.devpost.com/submissions/69933-kickflip,Game Dev,
6,FitnessHelper,"Amazon Web Services - Best Use of AWS, 1517: Best Hack",http://mhacks9.devpost.com/submissions/69942-fitnesshelper,Web Development,
7,Initiation Analytics,"Capital One: Best Financial Hack, 1517: Best Hack, DRW: Most Innovative Hack, Best use of Wolfram Tech",http://mhacks9.devpost.com/submissions/69953-initiation-analytics,Web Development,
8,Fraud Alert,"Best Use of Twilio's API, Capital One: Best Financial Hack",http://mhacks9.devpost.com/submissions/69955-fraud-alert,Web Development,
9,Elevator,,http://mhacks9.devpost.com/submissions/69958-elevator,Game Dev,
10,3-click ordering,"Amazon Web Services - Best Use of AWS, Capital One: Best Financial Hack, 1517: Best Hack, DRW: Most Innovative Hack",http://mhacks9.devpost.com/submissions/69959-3-click-ordering,Web Development,
11,Team-Meme,,http://mhacks9.devpost.com/submissions/69962-team-meme,Web Development,
12,BeepBox,"#HackHarassment, Best Use of Twilio's API, 1517: Best Hack, DRW: Most Innovative Hack",http://mhacks9.devpost.com/submissions/69966-beepbox,Hardware,
13,blox,,http://mhacks9.devpost.com/submissions/70172-blox,Web Development,
14,Factable,"Best Use Of a .tech Domain, 1517: Best Hack, DRW: Most Innovative Hack",http://mhacks9.devpost.com/submissions/69968-factable,Web Development,
15,EatTrack,"Best Use Of a .tech Domain, 1517: Best Hack, DRW: Most Innovative Hack, Best use of Wolfram Tech",http://mhacks9.devpost.com/submissions/69970-eattrack,Web Development,
16,Pong in 3D,,http://mhacks9.devpost.com/submissions/69973-pong-in-3d,Game Dev,
17,helper,"Best Use of Twilio's API, 1517: Best Hack, DRW: Most Innovative Hack, Best use of Wolfram Tech",http://mhacks9.devpost.com/submissions/69974-helper,Web Development,
18,PursuitOfHappiness,"1517: Best Hack, DRW: Most Innovative Hack",http://mhacks9.devpost.com/submissions/69975-pursuitofhappiness,AI/ML,
19,altgredients,,http://mhacks9.devpost.com/submissions/69976-altgredients,iOS,
20,MixMax Spotify + Summarizer,"Best use of MixMax's API, Amazon Web Services - Best Use of AWS",http://mhacks9.devpost.com/submissions/69977-mixmax-spotify-summarizer,Web Development,
21,Food Stickers,"Best Use of Twilio's API, 1517: Best Hack, DRW: Most Innovative Hack",http://mhacks9.devpost.com/submissions/69978-food-stickers,iOS,
22,Air Alexa,"C2's Best Hack for Air Traffic Control, Best Use Of a .tech Domain, Amazon Web Services - Best Use of AWS, Best Domain Name from Domain.com, 1517: Best Hack, DRW: Most Innovative Hack",http://mhacks9.devpost.com/submissions/69981-air-alexa,VR/AR,
23, Diario,"Best Use of Twilio's API, 1517: Best Hack, DRW: Most Innovative Hack",http://mhacks9.devpost.com/submissions/69984-diario,iOS,
24,,,,,
25,Smart Parking System,,http://mhacks9.devpost.com/submissions/69988-smart-parking-system,Hardware,
26,SpotBot,"Best Use Of a .tech Domain, 1517: Best Hack, DRW: Most Innovative Hack",http://mhacks9.devpost.com/submissions/69990-spotbot,Hardware,
27,The Addition8r ,,http://mhacks9.devpost.com/submissions/69991-the-addition8r,Game Dev,
28,HINT,"1517: Best Hack, DRW: Most Innovative Hack",http://mhacks9.devpost.com/submissions/69993-hint,AI/ML,
29,Airport Simulator,"C2's Best Hack for Air Traffic Control, 1517: Best Hack, DRW: Most Innovative Hack",http://mhacks9.devpost.com/submissions/69994-airport-simulator,Game Dev,
30,UM Alumni Request Gateway,"1517: Best Hack, DRW: Most Innovative Hack",http://mhacks9.devpost.com/submissions/69996-um-alumni-request-gateway,Web Development,
31,MiPie,"#HackHarassment, Best Use Of a .tech Domain, Capital One: Best Financial Hack, 1517: Best Hack, DRW: Most Innovative Hack",http://mhacks9.devpost.com/submissions/69997-mipie,Web Development,
32,TakeOff: Educational Air Traffic Control,C2's Best Hack for Air Traffic Control,http://mhacks9.devpost.com/submissions/70000-takeoff-educational-air-traffic-control,VR/AR,
33,Machine Learning Image Classification Tool,"1517: Best Hack, DRW: Most Innovative Hack",http://mhacks9.devpost.com/submissions/70020-machine-learning-image-classification-tool,Android,
34,QMusic Room,,http://mhacks9.devpost.com/submissions/70029-qmusic-room,Web Development,
35,CUBE ( Tango NDK WebSocket ),DRW: Most Innovative Hack,http://mhacks9.devpost.com/submissions/70049-cube-tango-ndk-websocket,VR/AR,
36,Math Solver,"1517: Best Hack, DRW: Most Innovative Hack, Best use of Wolfram Tech",http://mhacks9.devpost.com/submissions/70060-math-solver,Android,
